wpdx_id,lat_deg,lon_deg,status_clean,pop_served_500m,install_year,is_urban,water_source_clean,water_tech_clean,geom_wkt,cluster_id
6GFP7993+JRH,-0.7309333,34.3546,Non-Functional,468.28624057769775,1995,f,Protected Well,Hand Pump,POINT(34.3546 -0.7309333),171
6GFP799F+JJ2,-0.731,34.374,Non-Functional,749.0556364059448,,f,Protected Well,Hand Pump,POINT(34.374 -0.731),171
6GFP79GC+MFR,-0.7232667,34.37115,Non-Functional,553.4944965839386,,f,Borehole/Tubewell,Hand Pump,POINT(34.37115 -0.7232667),171
6GFP7CQP+673,-0.711986698,34.43567539,Non-Functional,162.2660346031189,,f,Borehole/Tubewell,,POINT(34.43567539 -0.711986698),
6GFP7G53+X99,-0.7400833,34.50347,Non-Functional,270.64488756656647,,f,Protected Spring,,POINT(34.50347 -0.7400833),39
6GFP7G5G+6MP,-0.7419167,34.5267,Non-Functional,320.8460154533386,1998,f,Protected Well,Hand Pump,POINT(34.5267 -0.7419167),
6GFP7G7R+Q26,-0.7355833,34.54,Non-Functional,258.7269637584686,2000,f,Protected Well,Hand Pump,POINT(34.54 -0.7355833),
6GFP7G8C+R7G,-0.7329333,34.5207,Non-Functional,327.7049021720886,,f,Borehole/Tubewell,Hand Pump,POINT(34.5207 -0.7329333),
6GFP7GC4+GQX,-0.728631832,34.50697344,Non-Functional,250.08382964134216,,f,Protected Well,,POINT(34.50697344 -0.728631832),39
6GFP7GM7+JXQ,-0.7159167,34.51498,Non-Functional,302.8401749134064,,f,Protected Spring,,POINT(34.51498 -0.7159167),39
6GFP7GPX+828,-0.7142084,34.5475702,"Functional, needs repair",420.1343312263489,2006,f,Undefined Well,Public Tapstand,POINT(34.5475702 -0.7142084),
6GFP7GPX+MV3,-0.7133536,34.5496659,"Functional, not in use",385.50148940086365,2019,f,Protected Well,Public Tapstand,POINT(34.5496659 -0.7133536),
6GFP7GQR+GPJ,-0.711161,34.5417607,"Functional, not in use",347.3677805662155,2020,f,Borehole/Tubewell,,POINT(34.5417607 -0.711161),
6GFP7H35+G85,-0.7462408,34.5583726,"Functional, not in use",447.8860731124878,2017,f,Borehole/Tubewell,,POINT(34.5583726 -0.7462408),
6GFP7H9C+5P2,-0.732050002,34.57187653,Non-Functional,435.8875832557678,,f,Protected Well,Motorized Pump - Electric,POINT(34.57187653 -0.732050002),
6GFP7H9X+5VR,-0.7320203,34.5996353,"Functional, not in use",559.7360084056854,2015,f,Rainwater Harvesting,Public Tapstand,POINT(34.5996353 -0.7320203),
6GFP7HC8+2P2,-0.7299962,34.5667505,"Functional, not in use",446.92652320861816,2018,f,Borehole/Tubewell,,POINT(34.5667505 -0.7299962),
6GFP7HW2+5WF,-0.704568,34.5522834,"Functional, not in use",644.6293895244598,2018,f,Borehole/Tubewell,,POINT(34.5522834 -0.704568),
6GFP7J2J+4G5,-0.749733971,34.63136594,Non-Functional,776.8662304878235,,f,Protected Well,,POINT(34.63136594 -0.749733971),
6GFP7J3G+VQ7,-0.745378315,34.62674332,Non-Functional,684.5234279632568,,f,Borehole/Tubewell,,POINT(34.62674332 -0.745378315),
6GFP7J45+3MG,-0.744804959,34.60921206,Non-Functional,1173.2020330429077,,f,Protected Well,,POINT(34.60921206 -0.744804959),335
6GFP7J7G+C46,-0.736393332,34.6254158,Non-Functional,632.5807085037231,,f,Protected Well,Motorized Pump - Electric,POINT(34.6254158 -0.736393332),172
6GFP7J84+2QG,-0.734947812,34.60696658,Non-Functional,595.693413734436,,f,Protected Well,,POINT(34.60696658 -0.734947812),
6GFP7J89+677,-0.734460363,34.61816435,Non-Functional,573.3753685951233,,f,Protected Well,,POINT(34.61816435 -0.734460363),172
6GFP7JF6+VWM,-0.725277532,34.61228563,Non-Functional,377.63207745552063,,f,Protected Well,,POINT(34.61228563 -0.725277532),172
